
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-8-17,21,14,9,10,8,5,93,60,37,1018,1016,1015,10,10,10,16,8,,0.00,1,,336<br />
2015-8-18,17,14,13,12,11,8,82,74,63,1015,1014,1013,10,10,9,19,11,,0.00,2,Rain,247<br />
2015-8-19,22,17,12,13,11,9,88,66,46,1019,1017,1015,10,10,10,26,14,,0.00,2,,215<br />
2015-8-20,21,18,15,16,15,13,88,79,64,1021,1020,1018,10,10,7,23,16,,0.00,6,Rain,198<br />
2015-8-21,27,22,18,17,15,14,88,66,47,1021,1020,1018,10,10,8,27,16,,0.00,3,,186<br />
2015-8-22,29,21,14,17,14,12,88,65,42,1018,1014,1009,,,,27,8,,0.00,,,101<br />
2015-8-23,23,18,14,16,13,11,83,67,50,1008,1002,1001,10,10,10,27,19,,0.00,1,Rain,169<br />
2015-8-24,18,14,11,16,13,10,94,88,82,1003,999,995,10,9,4,23,8,,0.00,3,Rain-Thunderstorm,11<br />
2015-8-25,19,16,12,16,12,9,88,78,56,1010,1008,1004,10,9,5,35,24,,0.00,3,Rain,218<br />
2015-8-26,21,18,15,16,14,12,88,80,73,1008,1005,1003,10,10,9,40,27,60,0.00,4,Rain,205<br />
2015-8-27,20,16,12,13,11,9,88,72,52,1011,1007,1005,10,10,10,34,19,,0.00,1,Rain,221<br />
2015-8-28,21,16,10,11,9,7,94,67,40,1020,1016,1011,10,10,10,27,14,,0.00,1,,225<br />
2015-8-29,22,18,14,15,13,10,88,74,49,1021,1020,1018,10,9,7,19,11,,0.00,1,Rain,168<br />
2015-8-30,20,18,15,15,14,11,88,79,73,1018,1017,1015,10,10,10,21,11,,0.00,5,,27<br />
2015-8-31,16,14,14,14,13,11,94,88,82,1014,1012,1011,10,9,3,21,11,,0.00,7,Rain,343<br />
2015-9-1,18,14,10,12,11,9,94,80,59,1019,1017,1015,10,10,8,14,10,,0.00,3,Fog-Rain,315<br />
2015-9-2,19,14,9,11,9,7,94,77,49,1018,1017,1016,10,10,8,14,6,,0.00,2,Fog-Rain-Thunderstorm,295<br />
2015-9-3,16,12,9,9,8,6,88,74,59,1016,1015,1014,10,10,10,21,10,,0.00,2,Rain,286<br />
2015-9-4,21,16,10,8,7,6,82,67,43,1018,1017,1015,10,10,10,21,11,,0.00,4,,299<br />
2015-9-5,16,12,8,10,7,4,82,69,48,1025,1021,1017,10,10,10,23,11,,0.00,4,,320<br />
2015-9-6,19,13,7,8,6,3,81,61,40,1028,1028,1026,10,10,10,16,10,,0.00,1,,302<br />
2015-9-7,17,13,9,11,9,7,87,74,59,1031,1030,1028,10,10,10,16,11,,0.00,3,,346<br />
2015-9-8,16,12,9,11,9,7,87,75,59,1031,1027,1025,10,10,10,19,10,,0.00,5,,22<br />
2015-9-9,19,16,12,12,11,8,88,73,52,1025,1023,1021,10,10,10,27,13,,0.00,3,Tornado,58<br />
2015-9-10,19,14,10,13,11,9,94,76,52,1022,1021,1019,10,9,7,29,13,,0.00,1,Fog,60<br />
2015-9-11,19,14,10,13,11,8,94,73,52,1018,1015,1011,10,10,9,27,14,,0.00,1,,100<br />
2015-9-12,21,17,13,14,11,8,88,67,46,1010,1008,1006,10,10,8,32,19,,0.00,2,Rain,193<br />
2015-9-13,16,12,8,11,8,1,93,76,54,1010,1005,1000,10,10,10,19,6,,0.00,1,Rain,92<br />
2015-9-14,18,12,7,14,10,6,94,78,59,999,995,993,10,10,7,42,18,55,0.00,3,Rain,187<br />
2015-9-15,19,14,10,11,9,6,88,74,59,998,996,993,10,10,8,34,23,,0.00,3,Rain,213<br />
2015-9-16,15,12,10,14,12,8,94,89,77,995,988,984,10,9,4,23,11,,0.00,5,Rain,36<br />
2015-9-17,18,14,10,11,9,6,94,72,48,1007,1000,987,10,10,10,23,14,,0.00,3,,261<br />
2015-9-18,18,14,12,12,11,10,94,84,64,1018,1011,1007,10,10,9,19,11,,0.00,2,Rain,246<br />
2015-9-19,18,13,8,10,8,6,94,75,49,1027,1024,1019,10,9,5,13,8,,0.00,2,,315<br />
2015-9-20,20,13,7,11,9,6,93,73,40,1027,1024,1020,10,10,10,21,10,,0.00,1,Fog,234<br />
2015-9-21,17,13,11,13,11,9,94,82,63,1020,1011,1005,10,9,3,27,14,,0.00,3,Rain,217<br />
2015-9-22,14,11,8,11,9,6,94,86,77,1006,1001,998,10,9,6,19,10,,0.00,3,Rain,333<br />
2015-9-23,21,14,9,10,8,6,87,69,43,1013,1011,1006,10,10,10,24,16,,0.00,2,,259<br />
2015-9-24,18,14,11,14,9,6,88,73,48,1018,1014,1011,10,10,3,29,18,,0.00,4,Rain,245<br />
2015-9-25,17,12,7,9,7,5,87,72,45,1026,1022,1018,10,10,10,16,10,,0.00,1,,279<br />
2015-9-26,17,10,4,9,7,3,93,74,52,1030,1028,1026,10,10,10,16,6,,0.00,1,,24<br />
2015-9-27,17,12,7,11,8,5,88,76,59,1036,1034,1030,10,10,10,108,11,,0.00,1,,52<br />
2015-9-28,17,11,6,12,8,5,94,73,55,1038,1036,1035,10,10,10,27,13,,0.00,2,Fog,67<br />
2015-9-29,17,12,8,11,9,6,94,72,55,1036,1035,1033,10,10,10,29,14,,0.00,2,,56<br />
2015-9-30,17,13,10,10,9,7,88,72,55,1034,1033,1032,10,10,10,29,16,,0.00,1,,59<br />
2015-10-1,16,12,9,10,8,7,88,73,59,1032,1031,1029,10,10,10,27,14,,0.00,3,,48<br />
2015-10-2,17,11,6,10,8,4,94,75,52,1028,1024,1019,10,9,6,19,8,,0.00,4,Fog,33<br />
2015-10-3,16,12,8,12,8,6,94,83,63,1019,1014,1013,10,5,0,14,6,,0.00,4,Fog,262<br />
2015-10-4,16,11,6,10,7,4,93,76,55,1015,1014,1010,10,7,5,14,8,,0.00,3,,190<br />
2015-10-5,18,16,14,15,13,10,94,86,77,1009,1005,1001,10,9,3,23,18,,0.00,6,Rain,152<br />
2015-10-6,19,17,14,16,13,12,94,84,68,1001,997,996,10,9,5,27,14,,0.00,5,Rain,154<br />
2015-10-7,16,13,11,13,11,6,88,80,67,1016,1008,999,10,10,8,27,16,,0.00,6,Rain,257<br />
2015-10-8,17,12,7,8,7,5,93,73,52,1023,1021,1017,10,10,10,100,14,,0.00,1,,285<br />
2015-10-9,16,10,4,9,7,2,93,78,55,1023,1022,1022,10,10,8,14,6,,0.00,1,Fog,47<br />
2015-10-10,16,12,9,12,9,7,93,81,68,1022,1020,1017,10,10,10,23,11,,0.00,2,,50<br />
2015-10-11,14,11,8,9,6,4,87,73,58,1017,1017,1016,10,10,8,24,14,,0.00,1,,38<br />
2015-10-12,14,11,8,7,5,3,82,71,58,1019,1019,1017,10,9,4,16,11,,0.00,4,,350<br />
2015-10-13,12,9,7,5,4,2,87,70,51,1024,1022,1019,10,10,10,23,14,,0.00,3,,355<br />
2015-10-14,14,10,6,8,6,3,93,76,58,1024,1021,1020,10,10,5,26,16,,0.00,2,Rain,353<br />
2015-10-15,11,9,8,8,7,6,93,83,71,1021,1020,1019,10,10,9,19,13,,0.00,4,,353<br />
2015-10-16,12,11,10,10,9,8,94,86,77,1021,1020,1019,10,7,1,23,18,,0.00,5,Rain,354<br />
2015-10-17,13,11,10,9,8,7,88,77,67,1020,1019,1018,10,10,10,23,14,,0.00,5,,350<br />
2015-10-18,15,12,10,10,9,8,88,81,63,1022,1020,1018,10,10,8,14,10,,0.00,4,,5<br />
2015-10-19,15,12,9,10,9,6,88,80,67,1025,1024,1022,10,10,10,16,10,,0.00,5,,348<br />
2015-10-20,15,10,5,8,6,3,93,78,55,1027,1026,1024,10,10,10,14,8,,0.00,1,,306<br />
2015-10-21,14,11,8,13,10,6,94,89,82,1023,1016,1013,10,8,3,27,14,,0.00,7,Rain,231<br />
2015-10-22,15,12,9,13,8,5,94,74,58,1022,1016,1012,10,10,10,24,13,,0.00,6,,266<br />
2015-10-23,14,11,8,8,6,5,93,71,55,1022,1021,1018,10,10,10,19,6,,0.00,6,,201<br />
2015-10-24,15,12,9,11,8,6,88,78,72,1020,1015,1012,10,9,3,21,14,,0.00,6,Rain,205<br />
2015-10-25,13,8,3,6,4,1,93,76,54,1027,1025,1021,10,10,10,16,8,,0.00,1,,192<br />
2015-10-26,14,8,3,10,9,1,94,87,77,1020,1015,1012,10,7,4,26,11,,0.00,4,Fog,107<br />
2015-10-27,16,10,5,12,10,4,94,88,77,1012,1010,1008,10,6,1,16,8,,0.00,2,Fog-Rain,101<br />
2015-10-28,15,11,8,12,11,7,94,88,72,1010,1007,1005,10,9,2,16,8,,0.00,3,Rain,215<br />
2015-10-29,15,13,11,12,11,9,88,84,77,1016,1013,1010,10,10,10,26,19,,0.00,5,Rain,169<br />
2015-10-30,14,12,10,12,10,9,94,82,77,1022,1019,1016,10,10,10,27,18,,0.00,4,Rain,146<br />
2015-10-31,14,9,5,10,8,4,100,90,77,1027,1023,1020,8,4,0,14,6,,0.00,3,Fog,112<br />
2015-11-1,10,8,5,10,7,4,100,96,93,1029,1028,1027,0,0,0,10,3,,0.00,7,Fog,112<br />
2015-11-2,13,11,9,12,10,8,100,94,87,1027,1023,1020,5,2,0,13,6,,0.00,6,Fog,109<br />
2015-11-3,14,11,8,11,9,7,100,88,77,1020,1015,1014,10,6,3,14,8,,0.00,5,,116<br />
2015-11-4,14,11,8,12,11,7,100,92,82,1015,1013,1012,10,7,0,16,6,,0.00,4,Fog-Rain,249<br />
2015-11-5,16,13,12,14,12,11,94,89,77,1015,1013,1011,10,9,4,26,16,,0.00,6,Rain,187<br />
2015-11-6,17,14,12,16,13,10,94,87,82,1018,1015,1013,10,10,10,29,23,,0.00,6,Rain,214<br />
2015-11-7,18,14,10,14,12,8,94,83,77,1026,1019,1015,10,10,9,45,23,60,0.00,5,Rain,223<br />
2015-11-8,16,12,8,14,11,6,94,86,82,1026,1020,1015,10,10,8,32,16,,0.00,5,,192<br />
2015-11-9,15,12,9,12,8,6,88,75,67,1022,1020,1019,10,10,10,42,27,,0.00,5,,231<br />
2015-11-10,16,14,14,13,12,11,88,84,82,1022,1021,1020,10,10,10,39,27,,0.00,6,Rain,225<br />
2015-11-11,15,13,11,11,9,8,88,75,63,1022,1021,1020,10,10,10,34,21,,0.00,6,,227<br />
2015-11-12,16,12,9,12,11,8,94,84,72,1023,1020,1016,10,10,9,106,21,,0.00,4,Rain,204<br />
2015-11-13,14,10,7,11,4,1,82,68,62,1025,1020,1016,10,10,6,39,29,95,0.00,3,Rain,243<br />
2015-11-14,15,10,6,12,8,3,94,83,71,1026,1020,1012,10,10,8,37,26,,0.00,5,Rain,227<br />
2015-11-15,17,14,13,11,10,8,82,72,63,1012,1011,1010,10,10,10,52,40,76,0.00,5,Rain,238<br />
2015-11-16,14,12,11,12,8,5,94,76,62,1010,1009,1005,10,10,9,37,27,,0.00,4,Rain,228<br />
2015-11-17,16,13,12,13,9,5,94,75,55,1006,1003,999,10,10,7,61,29,103,0.00,4,Rain,232<br />
2015-11-18,15,12,10,10,8,5,88,71,62,1014,1010,1008,10,10,4,48,34,71,0.00,3,Rain,234<br />
2015-11-19,13,11,9,10,7,6,94,80,63,1013,1012,1010,10,10,8,37,26,,0.00,5,Rain,247<br />
2015-11-20,10,8,4,7,2,0,82,70,57,1013,1006,1001,10,10,10,27,18,,0.00,1,,265<br />
2015-11-21,6,3,0,4,-1,-5,93,76,65,1010,1005,999,10,10,9,37,26,60,0.00,4,Rain-Snow,312<br />
2015-11-22,6,1,-3,1,-2,-6,93,78,64,1021,1015,1010,10,10,10,16,11,,0.00,1,,311<br />
2015-11-23,7,3,-1,2,0,-2,93,78,66,1025,1023,1019,10,10,10,21,11,,0.00,2,Rain,246<br />
2015-11-24,10,8,6,8,6,4,93,86,81,1018,1010,1008,10,10,5,27,19,,0.00,4,Rain,251<br />
2015-11-25,10,7,4,6,3,1,93,79,66,1016,1011,1008,10,10,10,23,18,42,0.00,2,,292<br />
2015-11-26,11,7,4,8,6,2,93,86,71,1021,1019,1016,10,10,10,11,8,,0.00,4,,266<br />
2015-11-27,12,9,6,10,8,2,94,86,76,1019,1010,1003,10,10,5,34,19,58,0.00,6,Rain,223<br />
2015-11-28,11,7,3,6,3,0,81,73,61,1014,1010,1005,10,10,10,40,26,,0.00,3,Rain,239<br />
2015-11-29,14,12,10,9,6,3,82,71,62,1015,1008,1006,10,10,8,47,35,76,0.00,5,Rain,248<br />
2015-11-30,14,11,8,11,8,2,93,80,62,1018,1014,1011,10,10,4,42,26,71,0.00,6,Rain,241<br />
2015-12-1,14,11,8,11,8,5,100,78,62,1024,1022,1019,10,9,3,32,14,,0.00,6,Rain,227<br />
2015-12-2,13,12,11,9,8,6,88,78,67,1024,1023,1022,10,10,10,32,21,,0.00,2,Rain,212<br />
2015-12-3,12,11,11,10,8,7,88,81,72,1023,1019,1012,10,10,10,39,23,52,0.00,3,Rain,189<br />
2015-12-4,13,9,6,11,6,2,88,75,67,1028,1025,1012,10,10,3,53,24,58,0.00,3,Rain-Thunderstorm,235<br />
2015-12-5,12,11,11,7,6,6,76,71,67,1024,1018,1014,10,10,10,50,42,74,0.00,5,,219<br />
2015-12-6,14,12,11,11,9,6,94,81,67,1023,1017,1013,10,10,6,45,34,63,0.00,6,Rain,219<br />
2015-12-7,13,11,10,11,9,7,94,85,76,1026,1024,1022,10,10,8,29,18,,0.00,4,Rain,180<br />
2015-12-8,13,10,8,11,8,4,94,80,66,1028,1022,1020,10,10,7,29,21,,0.00,3,Rain,208<br />
2015-12-9,11,7,3,7,4,1,93,78,67,1035,1032,1029,10,10,10,34,19,,0.00,3,,221<br />
2015-12-10,11,10,9,9,7,5,93,79,71,1029,1024,1021,10,10,9,45,31,,0.00,5,Rain,213<br />
2015-12-11,10,8,5,8,6,2,87,78,71,1023,1021,1020,10,10,9,34,19,,0.00,5,Rain,250<br />
2015-12-12,13,9,5,9,6,2,88,78,71,1023,1017,1012,10,10,10,42,19,60,0.00,6,Rain,217<br />
2015-12-13,13,9,6,9,7,5,100,93,72,1020,1019,1014,10,7,4,29,14,,0.00,7,Rain,100<br />
2015-12-14,9,7,6,7,6,4,93,86,76,1018,1016,1015,10,9,7,19,13,,0.00,5,Rain,150<br />
2015-12-15,12,10,8,11,9,7,100,93,88,1019,1017,1016,10,6,1,21,11,,0.00,7,Rain,143<br />
2015-12-16,15,13,12,12,11,10,94,84,72,1021,1018,1015,10,10,9,29,21,,0.00,5,Rain,221<br />
2015-12-17,14,12,11,11,9,8,94,77,67,1019,1016,1014,10,10,10,27,23,,0.00,2,Rain,208<br />
2015-12-18,14,11,9,10,9,7,88,83,72,1020,1018,1016,10,10,10,26,16,,0.00,3,,209<br />
2015-12-19,16,14,13,12,11,9,94,80,72,1015,1012,1009,10,10,10,39,27,,0.00,5,,191<br />
2015-12-20,14,11,9,10,8,5,87,78,72,1014,1011,1007,10,10,9,32,24,,0.00,3,Rain,214<br />
2015-12-21,12,9,7,10,7,4,88,81,72,1019,1014,1011,10,10,9,47,26,72,0.00,3,Rain,216<br />
2015-12-22,15,13,11,12,11,9,88,82,72,1017,1013,1011,10,10,10,53,35,72,0.00,5,Rain,218<br />
2015-12-23,11,9,8,8,6,3,82,73,62,1022,1019,1012,10,10,10,34,26,48,0.00,1,,218<br />
2015-12-24,15,9,4,12,6,1,82,74,62,1019,1012,1008,10,10,10,42,31,61,0.00,3,Rain,216<br />
2015-12-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2015-12-26,15,14,13,11,9,8,88,77,67,1019,1018,1017,10,10,10,47,34,,0.00,5,Rain,211<br />
2015-12-27,15,13,11,11,11,9,88,82,77,1025,1021,1016,10,10,9,50,31,,0.00,6,Rain,208<br />
2015-12-28,12,9,6,9,6,5,93,78,62,1024,1017,1014,10,10,10,29,14,,0.00,1,,141<br />
2015-12-29,12,10,9,8,7,5,87,79,67,1022,1019,1014,10,10,10,27,21,,0.00,2,,192<br />
2015-12-30,13,11,9,8,7,5,87,73,62,1019,1011,1005,10,10,8,47,35,63,0.00,4,Rain,176<br />
2015-12-31,11,9,7,8,4,2,87,72,58,1016,1012,1005,10,10,10,42,29,55,0.00,3,Rain,212<br />
